"epsilon","zeta","nu_short[1]","nu_short[2]","nu_short[3]","nu_short[4]","nu_short[5]","nu_short[6]","nu_short[7]","nu_short[8]","nu_short[9]","nu_short[10]","inoculum","beta_short[1]","beta_short[2]","beta_short[3]","r","alpha","gamma","x0","k0","x1","k1","x2","k2","x3","k3","x4","k4","u1","u2","u3","u4"
0.054657,0.836093,0.000412821,0.000317927,0.000680669,0.00117616,0.00173683,0.00224279,0.00406071,0.00849235,0.0200359,0.0628443,8.41772e-05,0.471466,0.989498,1,41.801,0.370075,0.311767,29.0052,2.19866,63.0047,0.761798,178.676,0.768061,261.345,2.62022,300.43,0.360713,0.216937,0.411317,0.233651,0.481169
0.0559355,0.789835,0.000431479,0.000454532,0.000548647,0.0011307,0.00143257,0.00199561,0.00391759,0.00812047,0.0185812,0.059431,9.30174e-05,0.50792,0.999447,1,58.8944,0.354221,0.314999,28.1986,0.415579,61.9431,2.61489,179.942,3.67447,259.014,1.09066,299.757,0.391813,0.219503,0.415067,0.243424,0.482647
0.0478442,0.814161,0.000271583,0.000326118,0.000395434,0.000979555,0.00122803,0.00178005,0.00329319,0.00675439,0.0149504,0.0493724,0.000111434,0.572106,0.964611,1,54.4336,0.408573,0.266586,27.9591,3.60745,63.7112,0.605383,177.527,0.951529,262.487,0.56355,296.014,0.251094,0.208007,0.405073,0.202179,0.445613
0.0505168,0.807052,0.000380597,0.00021761,0.000520629,0.00113617,0.00171446,0.00215911,0.00412906,0.00803778,0.0174025,0.0575779,9.32282e-05,0.547314,0.878478,1,61.7548,0.362625,0.260797,29.0702,3.03853,62.859,0.556483,177.343,1.28181,261.309,0.280611,297.737,0.261525,0.199489,0.408068,0.179808,0.445538
0.0497912,0.762589,0.000282517,0.000315786,0.00040866,0.000965059,0.00121772,0.0017398,0.00327046,0.00661793,0.0142946,0.0464005,9.72359e-05,0.554742,0.941539,1,47.4186,0.373565,0.262725,28.9752,1.09266,62.6531,1.49407,180.96,0.985706,260.001,0.436839,296.519,0.386387,0.211028,0.409329,0.215822,0.427568
0.0545948,0.685731,0.000298167,0.000224403,0.000470728,0.000953923,0.00129098,0.00184506,0.00325498,0.00596939,0.0133176,0.0414313,0.000110073,0.51237,0.842986,1,54.6077,0.331493,0.248094,28.4707,1.07522,62.8247,2.55837,178.733,1.56013,258.817,0.365267,298.165,0.771911,0.205774,0.401405,0.209582,0.436945
0.0601076,0.822126,0.000494336,0.000378989,0.000564237,0.00110025,0.00150323,0.00195692,0.00356321,0.00741738,0.0166694,0.0511724,8.69312e-05,0.51184,0.975354,1,50.836,0.332676,0.322299,27.4928,0.810371,64.7612,0.965754,179.223,1.4151,260.902,1.4939,296.548,1.28662,0.177721,0.38009,0.19753,0.410327
0.0670125,0.707895,0.000387425,0.00043038,0.00074257,0.00106751,0.0014564,0.00203064,0.00383552,0.00819284,0.0177166,0.0551363,8.7497e-05,0.454964,0.959563,1,55.2461,0.281923,0.331442,27.8711,0.516604,63.2631,3.53192,178.065,1.9025,259.733,1.19093,297.851,1.03824,0.201126,0.383921,0.224978,0.39539
0.0626111,0.84438,0.000406702,0.000278167,0.000656237,0.00109965,0.00150318,0.00205845,0.00370308,0.00791226,0.0178872,0.0569758,7.8461e-05,0.5025,0.99535,1,57.7513,0.355816,0.34806,27.3576,1.21373,64.243,1.17724,180.649,0.307929,258.279,0.793624,298.743,2.15436,0.187017,0.38712,0.225336,0.449123
0.0612322,0.844581,0.000644802,0.000574672,0.000704335,0.0013343,0.0018296,0.00242229,0.00470439,0.00987544,0.0212737,0.0691135,8.23829e-05,0.500761,0.997432,1,49.0193,0.325796,0.347116,28.0889,1.96326,64.1263,1.4532,180.253,0.858192,259.9,0.653401,298.182,1.4991,0.197139,0.398612,0.212063,0.42471
0.0434036,0.787156,0.000193342,0.000132573,0.000282315,0.000660949,0.000882414,0.00118714,0.00215283,0.00497625,0.0106284,0.0337015,0.000134472,0.607328,0.988458,1,49.8231,0.44845,0.249734,28.9927,1.00389,60.3343,1.69502,178.717,1.22835,261.934,1.2447,298.177,1.63653,0.230209,0.442075,0.281229,0.524362
0.0438588,0.852783,0.000272135,0.000231245,0.000422594,0.000851194,0.00124279,0.00161022,0.00298356,0.00671345,0.0153181,0.0485792,0.000135673,0.600679,0.98533,1,50.2618,0.4328,0.270594,29.7761,0.574111,61.9796,0.964026,176.512,0.839507,262.73,0.55225,299.146,0.343799,0.248237,0.464398,0.274192,0.543311
0.0490889,0.91106,0.000431416,0.000344297,0.000580104,0.00116324,0.00156085,0.00208615,0.00374554,0.00831225,0.0181389,0.059406,8.9417e-05,0.528179,0.96139,1,40.7133,0.501385,0.301856,29.4017,0.912543,60.5431,1.45902,180.501,2.08743,262.029,0.328626,296.735,0.459954,0.249684,0.456898,0.262347,0.491899
0.0692748,0.745941,0.000323691,0.000292417,0.000503534,0.000977137,0.00134535,0.00176126,0.0033953,0.00661936,0.0144845,0.0444875,0.000112157,0.502065,0.917356,1,71.1183,0.261423,0.336176,28.1985,2.31814,64.2711,1.02915,178.011,1.29649,258.725,1.06271,297.877,3.18658,0.17933,0.396427,0.218322,0.437385
0.0588643,0.77871,0.000414146,0.000338985,0.000525303,0.000925856,0.00124365,0.00172005,0.00306113,0.00667801,0.0139262,0.042476,0.000106415,0.465943,0.9439,1,58.0536,0.333378,0.298068,27.3483,0.688308,67.2024,1.91963,178.265,0.985597,262.487,0.431947,298.148,1.06011,0.193877,0.382683,0.205163,0.440851
0.0582191,0.840263,0.000320337,0.000303457,0.000525436,0.000930024,0.0012016,0.00158318,0.00298573,0.00632309,0.0142924,0.0432353,9.98489e-05,0.486015,0.972642,1,63.1241,0.37173,0.3193,27.7398,1.18823,63.0914,3.04669,178.09,1.58679,261.623,0.307076,295.811,3.04468,0.195358,0.402022,0.231018,0.470026
